id,categoria_id,nombre,precio
cond_arroz_150,condimentos,"COND P/ARROZ, CARNE, EMPANADA, RAVIOLES 150GR",2495
cond_arroz_10kg,condimentos,"COND. P/ARROZ, P/CARNE, P/EMP. X 10KG",80990
cond_arroz_kg,condimentos,"COND P/ARROZ, CARNE, EMPANADA, RAVIOLES X KG",9545
cond_pizza_150,condimentos,COND P/PIZZA X 150GR,2210
cond_pizza_25kg,condimentos,CONDIMENTO PARA PIZZA X 25KG,156975
cond_pizza_kg,condimentos,COND P/PIZZA X KG,7675
coreantro_150,condimentos,COREANTRO MOLIDO / CILANTRO EN POLVO X 150GR,1965
coreantro_kg,condimentos,COREANTRO MOLIDO / CILANTRO EN POLVO X KG,17500
curcuma_150,condimentos,CURCUMA 150GR,2335
curcuma_10kg,condimentos,CURCUMA X 10 KG,70995
curcuma_kg,condimentos,CURCUMA X KG,8470
curry_150,condimentos,CURRY 150GR,3150
curry_5kg,condimentos,CURRY X 5KG,60430
curry_kg,condimentos,CURRY X KG,13845
especias_150,condimentos,ESPECIAS SURTIDAS X 150GR,1520
especias_kg,condimentos,ESPECIAS SURTIDAS X KG,3960
laurel_25,condimentos,HOJA DE LAUREL X 25GR,1590
laurel_10kg,condimentos,LAUREL X 10KG,135400
laurel_kg,condimentos,HOJA DE LAUREL X KG,22905
integral_chorizo_5kg,condimentos,INTEGRAL DE CHORIZO X 5KG,35575
integral_chorizo_kg,condimentos,INTEGRAL PARA CHORIZO X KG,8395
mix_guisero,condimentos,MIX GUISERO,3985
nuez_moscada_150,condimentos,NUEZ MOSCADA 150GR,2710
nuez_moscada_10kg,condimentos,NUEZ MOSCADA X 10KG,94330
nuez_moscada_kg,condimentos,NUEZ MOSCADA X KG,10980
oregano_100,condimentos,OREGANO X 100GR,1730
oregano_25kg,condimentos,OREGANO X 25KG,124345
oregano_kg,condimentos,OREGANO X KG,6270
perejil_50,condimentos,PEREJIL X 50GR,1815
perejil_5kg,condimentos,PEREJIL X 5KG,57830
perejil_kg,condimentos,PEREJIL X KG,13215
pimenton_150,condimentos,PIMENTON 150GR,2290
pimenton_25kg,condimentos,PIMENTON X 25KG,169695
pimenton_kg,condimentos,PIMENTON X KG,8195
pimienta_blanca_150,condimentos,PIMIENTA BLANCA 150GR,2980
pimienta_blanca_10kg,condimentos,PIMIENTA BLANCA X 10KG,111000
pimienta_blanca_kg,condimentos,PIMIENTA BLANCA X KG,12875
pimienta_negra_150,condimentos,PIMIENTA NEGRA 150GR,2300
pimienta_negra_10kg,condimentos,PIMIENTA NEGRA X 10KG,69150
pimienta_negra_kg,condimentos,PIMIENTA NEGRA X KG,8275
provenzal_150,condimentos,PROVENZAL 150GR,2200
provenzal_25kg,condimentos,PROVENZAL X 25KG,155860
provenzal_kg,condimentos,PROVENZAL X KG,7605
tira_aji,condimentos,EN TIRA AJI,2575
tira_ajo,condimentos,EN TIRA AJO TRITURADO,3845
tira_ajo_polvo,condimentos,TIRA AJO EN POLVO X 13 UND,3760
tira_chimi,condimentos,EN TIRA CHIMI,2705
tira_especias,condimentos,TIRA DE ESPECIAS SURTIDAS X 13UND,1480
almohadita_salvado_125,cereales,ALMOHADITA SALVADO X 125GR,2125
almohadita_salvado_250,cereales,ALMOHADITA SALVADO X 250GR,3365
almohadita_salvado_1_5kg,cereales,"ALMOHADITA SALVADO X 1,5KG",13395
almohadita_salvado_kg,cereales,ALMOHADITA SALVADO X KG,10425
almohadita_sabor_125,cereales,"ALMOHADITA S/MANI, S/LIMON, S/FRUTILLA, S/CHOCOLATE 125GR",1960
almohadita_sabor_250,cereales,"ALMOHADITA S/MANI, S/LIMON, S/FRUTILLA, S/CHOCOLATE 250GR",3045
almohadita_sabor_2kg,cereales,ALMOHADITAS X 2KG,14295
almohadita_sabor_kg,cereales,"ALMOHADITA S/MANI, S/LIMON, S/FRUTILLA, S/CHOCOLATE X KG",9175
aritos_frutales_125,cereales,ARITOS FRUTALES 125GR,1825
aritos_frutales_250,cereales,ARITOS FRUTALES 250GR,2760
aritos_frutales_2kg,cereales,ARITOS FRUTALES X 2KG,12445
aritos_frutales_kg,cereales,ARITOS FRUTALES X KG,8015
aritos_miel_2kg,cereales,ARITOS DE MIEL X 2KG,17000
avena_300,cereales,AVENA INSTANTANEA 300GR,1870
avena_25kg,cereales,AVENA X 25KG,81425
avena_kg,cereales,AVENA INSTANTANEA X KG,4425
bolita_choco_125,cereales,BOLITA DE CHOCOLATE 125GR,2040
bolita_choco_250,cereales,BOLITA DE CHOCOLATE 250GR,3200
bolita_choco_2kg,cereales,BOLITA DE CHOCOLATE X 2 KG,14030
bolita_choco_kg,cereales,BOLITA DE CHOCOLATE X KG,9765
chia_150,cereales,CHIA X 150GR,3150
chia_5kg,cereales,SEMILLA DE CHIA X 5KG,58505
chia_kg,cereales,CHIA X KG,14990
chia_tira,cereales,TIRA DE CHIA X 13 UNIDADES,4740
copos_azucar_125,cereales,COPOS DE MAIZ AZUCARADO 125 GR,1755
copos_azucar_250,cereales,COPOS DE MAIZ AZUCARADO 250GR,2625
copos_azucar_2kg,cereales,COPOS AZUCARADO X 2 KG,11575
copos_azucar_kg,cereales,COPOS DE MAIZ AZUCARADO X KG,7480
copos_sin_125,cereales,COPOS DE MAIZ SIN AZUCAR 125GR,1640
copos_sin_250,cereales,COPOS DE MAIZ SIN AZUCAR 250GR,2390
copos_sin_2kg,cereales,COPOS SIN AZUCAR X 2 KG,10025
copos_sin_kg,cereales,COPOS DE MAIZ SIN AZUCAR X KG,6530
girasol_pelado_150,cereales,GIRASOL PELADO 150GR,2000
girasol_pelado_kg,cereales,GIRASOL PELADO X KG,7080
girasol_semilla_40,cereales,SEMILLA DE GIRASOL X 40GR,250
girasol_semilla_100,cereales,SEMILLA DE GIRASOL X 100GR,620
girasol_semilla_5kg,cereales,SEMILLA DE GIRASOL X 5KG,29470
granola_energia_170,cereales,GRANOLA ENERGETICA Y TROPICAL X 170GR,2945
granola_energia_kg,cereales,GRANOLA ENERGETICA Y TROPICAL X KG,13015
granola_premium_170,cereales,GRANOLA PREMIUN X 170GR,3055
granola_premium_kg,cereales,GRANOLA PREMIUN X KG,14530
lino_150,cereales,LINO X 150GR,1840
lino_5kg,cereales,SEMILLA DE LINO X 5KG,20635
lino_kg,cereales,LINO X KG,5175
lino_tira,cereales,TIRA DE LINO X 13 UNIDADES,2155
mix_semillas_150,cereales,MIX DE SEMILLAS X 150GR,2120
mix_semillas_5kg,cereales,MIX SEMILLA X 5KG,33125
mix_semillas_kg,cereales,MIX DE SEMILLAS X KG,7865
mix_semillas_desayuno_150,cereales,MIX DE SEMILLAS DESAYUNO X 150GR,2920
mix_semillas_desayuno_kg,cereales,MIX SEMILLA DESAYUNO X KG,12360
mix_semillas_integral_150,cereales,MIX DE SEMILLAS INTEGRAL PREMIUM X 150GR,3315
mix_semillas_integral_kg,cereales,MIX SEMILLA INTEGRAL PREMIUM X KG,15015
psyllium_150,cereales,PSYLLIUN SEMILLA -ZARAGOTONA-150GR,4450
sesamo_blanco_150,cereales,SESAMO BLANCO 150GR,1700
